FirstName,LastName,Department,Role,Hire Date,Base Salary,Monthly Sales,Sales Target,Commission Rate,Commission Earned,Customer Rating,Customer Complaints,Employee Satisfaction Score,Manager Name,Sales Performance Status,Customer Handling Rate
Monica,Jackson,IT,Software Engineer,7/27/2019,72285,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Ellen,Stevens,Operations,Procurement Specialist,02/05/2021 ,84086,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Melanie,Gill,Sales,Account Manager,7/27/2016,57441,173278,58990,0,6060,2,4,,Bryan Burnett,High Performance,Need Improvement
Trevor,Rose,IT,IT Support,7/29/2022,67699,,,,,,,,Daniel Patterson,Meets Expectation,Satisfactory
David,Wilson,Sales,Sales Manager,6/27/2019,46596,46300,75934,0,2221,4,5,,Bryan Burnett,Need Improvement,Need Improvement
Chelsea,Rasmussen,Finance,Financial Analyst,12/07/2015 ,108692,,,,,,,,David Davis,Meets Expectation,Need Improvement
Paul,Adams,HR,Recruiter,5/16/2023,51789,,,,,,,80,Renee Green,Meets Expectation,Need Improvement
Austin,Mason,Operations,Logistics Coordinator,1/25/2016,88906,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Crystal,Garrett,HR,HR Coordinator,8/19/2023,52771,,,,,,,79,Renee Green,Meets Expectation,Need Improvement
Antonio,Serrano,Finance,Financial Analyst,09/03/2015 ,96097,,,,,,,,David Davis,Meets Expectation,Need Improvement
Victoria,Harris,IT,IT Support,3/18/2023,103467,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Lauren,Stone,Marketing,Content Strategist,12/05/2021 ,54528,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Cory,Murray,Finance,Auditor,1/28/2023,56410,,,,,,,,David Davis,Meets Expectation,Satisfactory
Alyssa,Evans,Sales,Account Manager,5/24/2023,53738,124128,68069,0,7816,4,5,,Bryan Burnett,High Performance,Need Improvement
Nancy,Chase,Finance,Financial Analyst,11/16/2019,56840,,,,,,,,David Davis,Meets Expectation,Need Improvement
Michael,Meyer,HR,HR Manager,1/15/2020,68339,,,,,,,74,Renee Green,Meets Expectation,Need Improvement
Mrs.,Christine,Marketing,Marketing Analyst,9/16/2016,46067,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Thomas,Higgins,Customer Support,Support Specialist,4/26/2020,63403,,,,,1,5,,Christopher Ochoa,Meets Expectation,Need Improvement
Catherine,Grant,Customer Support,Call Center Agent,02/01/2017 ,45944,,,,,2,8,,Christopher Ochoa,Meets Expectation,Need Improvement
April,Cruz,Finance,Accountant,11/09/2020 ,91725,,,,,,,,David Davis,Meets Expectation,Need Improvement
Mary,Nicholson,Finance,Accountant,9/27/2022,72936,,,,,,,,David Davis,Meets Expectation,Need Improvement
James,Rush,Operations,Logistics Coordinator,9/29/2017,52011,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Sierra,Arroyo,Customer Support,Customer Service Rep,12/25/2019,37131,,,,,2,6,,Christopher Ochoa,Meets Expectation,Need Improvement
Sarah,Hutchinson,Customer Support,Call Center Agent,05/07/2017 ,36757,,,,,3,2,,Christopher Ochoa,Meets Expectation,Need Improvement
April,Pearson,HR,HR Coordinator,9/24/2016,73276,,,,,,,74,Renee Green,Meets Expectation,Need Improvement
Anthony,Ramirez,HR,HR Manager,7/28/2021,66038,,,,,,,66,Renee Green,Meets Expectation,Need Improvement
Timothy,Silva,Sales,Sales Executive,7/16/2023,57072,36547,129067,0,1097,3,6,,Bryan Burnett,Need Improvement,Need Improvement
Paul,Bartlett,HR,HR Coordinator,5/25/2019,73241,,,,,,,73,Renee Green,Meets Expectation,Need Improvement
Cynthia,Chandler,Operations,Logistics Coordinator,8/28/2018,69757,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Brooke,Carpenter,Operations,Operations Manager,09/03/2019 ,85884,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Amanda,Shaw,Sales,Sales Executive,2/26/2016,80767,63608,165730,0,2683,1,5,,Bryan Burnett,Need Improvement,Need Improvement
Sarah,Hampton,Sales,Sales Executive,8/20/2015,83389,53823,82854,0,2201,3,2,,Bryan Burnett,Need Improvement,Need Improvement
Joshua,Hill,Marketing,Marketing Analyst,5/30/2022,50430,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Brandon,Bailey,IT,IT Support,01/12/2022 ,103406,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Brandi,Lane,Customer Support,Customer Service Rep,8/16/2018,47010,,,,,3,1,,Christopher Ochoa,Meets Expectation,Need Improvement
Allison,Bradshaw,HR,Recruiter,9/18/2017,91470,,,,,,,75,Renee Green,Meets Expectation,Need Improvement
John,Ward,Customer Support,Call Center Agent,10/30/2016,66566,,,,,5,7,,Christopher Ochoa,Meets Expectation,Need Improvement
Stephanie,Harris,HR,HR Manager,06/09/2016 ,79016,,,,,,,97,Renee Green,Meets Expectation,Need Improvement
Julie,Cole,Marketing,SEO Specialist,10/06/2023 ,76449,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Michael,Hamilton,Customer Support,Support Specialist,05/01/2017 ,46576,,,,,3,7,,Christopher Ochoa,Meets Expectation,Need Improvement
Jonathon,Richardson,IT,IT Support,09/08/2017 ,105216,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Joshua,Boyd,Finance,Accountant,1/26/2017,82994,,,,,,,,David Davis,Meets Expectation,Need Improvement
Lisa,Farrell,IT,Data Analyst,06/04/2016 ,53620,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Adam,Wall,IT,Data Analyst,09/06/2016 ,60512,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
James,Grimes,HR,HR Manager,10/28/2023,54175,,,,,,,71,Renee Green,Meets Expectation,Excellent Services
Timothy,Bell,Customer Support,Support Specialist,5/13/2018,41304,,,,,5,3,,Christopher Ochoa,Meets Expectation,Need Improvement
John,Barber,Finance,Financial Analyst,02/01/2016 ,101880,,,,,,,,David Davis,Meets Expectation,Need Improvement
Christopher,Miller,IT,Data Analyst,3/22/2022,71088,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Sarah,Warren,Sales,Account Manager,12/05/2023 ,86649,56335,111366,0,3841,5,6,,Bryan Burnett,Need Improvement,Need Improvement
Joseph,Small,Marketing,SEO Specialist,5/14/2017,68331,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Adrian,Williams,Operations,Logistics Coordinator,05/12/2017 ,70989,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
David,Delacruz,Finance,Accountant,2/13/2015,100027,,,,,,,,David Davis,Meets Expectation,Need Improvement
Dwayne,Hernandez,Marketing,Marketing Analyst,3/27/2018,53908,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Christopher,Morris,IT,Software Engineer,5/24/2015,72102,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Miss,Holly,Marketing,Content Strategist,02/09/2019 ,63361,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Robert,Martin,Marketing,Content Strategist,02/06/2019 ,65252,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Sandra,Hart,Customer Support,Call Center Agent,1/18/2016,59212,,,,,2,2,,Christopher Ochoa,Meets Expectation,Need Improvement
George,Tucker,Marketing,Content Strategist,3/31/2019,58200,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Pamela,Smith,Customer Support,Customer Service Rep,7/28/2021,43899,,,,,3,3,,Christopher Ochoa,Meets Expectation,Need Improvement
Kelly,Ortiz,IT,Software Engineer,12/03/2023 ,97626,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Brandon,Fisher,IT,IT Support,05/11/2021 ,112410,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Evan,Oneill,Operations,Operations Manager,3/18/2015,70474,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Misty,Savage,Marketing,SEO Specialist,5/14/2016,64263,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Dylan,Baird,Marketing,SEO Specialist,6/15/2022,45138,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Thomas,Payne,Finance,Accountant,8/14/2016,97073,,,,,,,,David Davis,Meets Expectation,Need Improvement
Jesus,Jordan,IT,IT Support,06/03/2021 ,116435,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Brittany,Henry,Marketing,SEO Specialist,09/06/2015 ,46309,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
John,Roberson,Customer Support,Call Center Agent,05/06/2019 ,65678,,,,,4,7,,Christopher Ochoa,Meets Expectation,Need Improvement
David,Lee,Marketing,Marketing Analyst,10/29/2016,71983,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Lisa,Nguyen,IT,Data Analyst,6/18/2021,54506,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Kevin,Davis,Finance,Financial Analyst,09/05/2015 ,79662,,,,,,,,David Davis,Meets Expectation,Need Improvement
Justin,Craig,Customer Support,Call Center Agent,09/03/2023 ,49573,,,,,3,6,,Christopher Ochoa,Meets Expectation,Need Improvement
David,Boyd,IT,Software Engineer,11/06/2019 ,97289,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Carrie,Jones,Operations,Logistics Coordinator,9/16/2019,102408,,,,,,,,Mr. Bradley Welch,Meets Expectation,Satisfactory
Morgan,Marshall,Customer Support,Call Center Agent,05/05/2021 ,56532,,,,,4,5,,Christopher Ochoa,Meets Expectation,Need Improvement
Dominique,Kane,HR,HR Manager,11/04/2019 ,53321,,,,,,,70,Renee Green,Meets Expectation,Need Improvement
Julie,Foster,Finance,Auditor,7/19/2020,64185,,,,,,,,David Davis,Meets Expectation,Need Improvement
Sara,Taylor,Finance,Financial Analyst,12/19/2021,74497,,,,,,,,David Davis,Meets Expectation,Need Improvement
Erika,Peterson,Finance,Financial Analyst,5/28/2019,84300,,,,,,,,David Davis,Meets Expectation,Need Improvement
Lisa,Gomez,IT,IT Support,03/06/2019 ,109280,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Scott,Foley,HR,HR Manager,10/10/2023 ,63249,,,,,,,64,Renee Green,Meets Expectation,Satisfactory
Melissa,Green,Sales,Account Manager,10/20/2015,61857,172575,180195,0,8722,4,0,,Bryan Burnett,Meets Expectation,Need Improvement
Jose,Garrett,Finance,Accountant,4/14/2019,96055,,,,,,,,David Davis,Meets Expectation,Excellent Services
Natalie,Villa,Customer Support,Support Specialist,7/17/2022,67685,,,,,5,3,,Christopher Ochoa,Meets Expectation,Satisfactory
Steven,Meza,Customer Support,Customer Service Rep,07/03/2020 ,61341,,,,,5,5,,Christopher Ochoa,Meets Expectation,Need Improvement
Tristan,Hill,Operations,Operations Manager,8/25/2023,83096,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
David,Patrick,Finance,Auditor,10/04/2017 ,61478,,,,,,,,David Davis,Meets Expectation,Satisfactory
Alexander,Freeman,Customer Support,Customer Service Rep,1/19/2022,59262,,,,,4,1,,Christopher Ochoa,Meets Expectation,Need Improvement
Chelsea,Thomas,Customer Support,Customer Service Rep,4/14/2017,45598,,,,,1,7,,Christopher Ochoa,Meets Expectation,Need Improvement
Tina,Price,IT,Data Analyst,08/11/2022 ,54197,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Brian,Brewer,IT,Data Analyst,10/04/2021 ,118044,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Tammy,Johnson,HR,Recruiter,4/27/2021,94167,,,,,,,60,Renee Green,Meets Expectation,Need Improvement
Jose,Young,HR,HR Coordinator,6/23/2019,89022,,,,,,,68,Renee Green,Meets Expectation,Need Improvement
Zachary,Moses,HR,Recruiter,9/27/2016,59901,,,,,,,93,Renee Green,Meets Expectation,Need Improvement
Stacy,Burton,IT,IT Support,12/21/2020,117471,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Tracy,Miles,Marketing,Content Strategist,10/29/2020,74008,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Aaron,Wade,HR,Recruiter,2/17/2023,57822,,,,,,,75,Renee Green,Meets Expectation,Need Improvement
Tammy,Escobar,Marketing,Content Strategist,01/02/2021 ,47274,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Justin,Jones,Finance,Financial Analyst,4/22/2015,90256,,,,,,,,David Davis,Meets Expectation,Need Improvement
Charles,Johnson,HR,Recruiter,10/29/2021,65009,,,,,,,93,Renee Green,Meets Expectation,Need Improvement
Vanessa,Reyes,HR,Recruiter,01/09/2015 ,92157,,,,,,,60,Renee Green,Meets Expectation,Need Improvement
Laurie,Howard,Marketing,SEO Specialist,1/23/2022,83994,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Melissa,Lopez,Operations,Operations Manager,02/06/2023 ,70745,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Allison,Frazier,Customer Support,Call Center Agent,5/20/2022,59674,,,,,1,1,,Christopher Ochoa,Meets Expectation,Need Improvement
Susan,Morton,Marketing,SEO Specialist,08/09/2016 ,78464,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Javier,Harrell,Sales,Sales Manager,06/04/2016 ,79792,46424,119038,0,2567,5,7,,Bryan Burnett,Need Improvement,Need Improvement
Katherine,Chapman,Marketing,SEO Specialist,8/29/2020,60481,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Charles,Larson,HR,HR Manager,8/22/2015,60688,,,,,,,79,Renee Green,Meets Expectation,Need Improvement
Alison,Wilson,IT,Data Analyst,12/22/2023,68907,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Sarah,Kramer,Customer Support,Support Specialist,7/28/2015,46662,,,,,3,9,,Christopher Ochoa,Meets Expectation,Need Improvement
Amy,Jackson,Customer Support,Call Center Agent,09/11/2016 ,67368,,,,,3,6,,Christopher Ochoa,Meets Expectation,Need Improvement
Stephanie,Hendrix,HR,HR Manager,1/26/2018,69640,,,,,,,92,Renee Green,Meets Expectation,Satisfactory
Dr.,Mary,Sales,Sales Manager,04/10/2018 ,86191,166861,142814,0,5472,5,4,,Bryan Burnett,High Performance,Need Improvement
Jasmine,Thomas,HR,HR Coordinator,08/10/2017 ,76991,,,,,,,92,Renee Green,Meets Expectation,Need Improvement
David,Wright,HR,HR Manager,05/08/2021 ,54027,,,,,,,91,Renee Green,Meets Expectation,Need Improvement
Kenneth,Brennan,Marketing,Content Strategist,4/17/2022,47892,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Donald,Davis,HR,HR Manager,3/24/2016,93963,,,,,,,63,Renee Green,Meets Expectation,Need Improvement
Michele,Rodriguez,IT,Software Engineer,11/09/2016 ,117691,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Keith,Wilson,Customer Support,Call Center Agent,10/10/2019 ,41174,,,,,2,1,,Christopher Ochoa,Meets Expectation,Need Improvement
Timothy,Miller,Customer Support,Support Specialist,11/22/2019,49920,,,,,5,6,,Christopher Ochoa,Meets Expectation,Need Improvement
Micheal,Barker,Operations,Operations Manager,1/22/2015,96236,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Kara,Eaton,Customer Support,Call Center Agent,07/01/2018 ,44693,,,,,1,0,,Christopher Ochoa,Meets Expectation,Need Improvement
Jose,Simmons,Finance,Accountant,12/17/2021,64460,,,,,,,,David Davis,Meets Expectation,Need Improvement
Frank,Watkins,HR,HR Manager,6/13/2020,63932,,,,,,,88,Renee Green,Meets Expectation,Satisfactory
Lawrence,Martinez,Sales,Sales Executive,11/17/2016,63167,205105,181637,0,12849,4,2,,Bryan Burnett,High Performance,Need Improvement
Kimberly,Johnson,Sales,Sales Manager,04/03/2017 ,48210,105873,153905,0,4484,1,8,,Bryan Burnett,Need Improvement,Need Improvement
Thomas,Gonzalez,HR,HR Coordinator,3/20/2017,62961,,,,,,,76,Renee Green,Meets Expectation,Need Improvement
Melissa,Estrada,Operations,Logistics Coordinator,10/08/2019 ,50157,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Cynthia,Ward,Sales,Sales Manager,9/20/2017,48813,123620,112257,0,3834,2,0,,Bryan Burnett,High Performance,Need Improvement
Benjamin,Hanson,Marketing,SEO Specialist,4/30/2022,64833,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Elizabeth,Martin,IT,IT Support,1/13/2020,98171,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Adam,Harper,Operations,Procurement Specialist,03/08/2018 ,95071,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Emma,Bryant,Customer Support,Customer Service Rep,06/05/2021 ,67936,,,,,3,3,,Christopher Ochoa,Meets Expectation,Satisfactory
Jennifer,Willis,Customer Support,Customer Service Rep,07/01/2019 ,46997,,,,,5,4,,Christopher Ochoa,Meets Expectation,Need Improvement
David,Spears,IT,Data Analyst,03/05/2017 ,82536,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Maria,Davidson,HR,Recruiter,09/03/2023 ,67629,,,,,,,64,Renee Green,Meets Expectation,Need Improvement
Brian,Elliott,Finance,Accountant,01/06/2017 ,69882,,,,,,,,David Davis,Meets Expectation,Need Improvement
Robert,Garza,IT,IT Support,10/29/2017,104360,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Kenneth,Hopkins,Finance,Financial Analyst,6/24/2015,98904,,,,,,,,David Davis,Meets Expectation,Need Improvement
Deborah,Proctor,IT,Software Engineer,12/30/2015,80738,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Samantha,Espinoza,Operations,Logistics Coordinator,12/15/2020,51311,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
David,Shaw,HR,HR Manager,3/15/2023,61222,,,,,,,82,Renee Green,Meets Expectation,Need Improvement
Albert,Johnson,HR,Recruiter,8/28/2021,89811,,,,,,,80,Renee Green,Meets Expectation,Need Improvement
Jessica,Padilla,IT,IT Support,9/24/2017,80669,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Justin,Moore,Marketing,SEO Specialist,9/20/2023,45927,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Kathleen,Compton,Customer Support,Support Specialist,1/13/2017,35393,,,,,2,0,,Christopher Ochoa,Meets Expectation,Need Improvement
Alexis,Townsend,IT,Software Engineer,11/20/2018,52763,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Corey,Rowe,Customer Support,Call Center Agent,3/30/2022,41613,,,,,2,6,,Christopher Ochoa,Meets Expectation,Need Improvement
Christopher,Martin,Sales,Account Manager,12/03/2022 ,79605,184921,69714,0,9599,1,5,,Bryan Burnett,High Performance,Need Improvement
Madeline,Robles,HR,HR Coordinator,7/25/2018,73634,,,,,,,91,Renee Green,Meets Expectation,Need Improvement
Scott,Baker,Marketing,Content Strategist,4/26/2022,53626,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Dr.,Vincent,Sales,Sales Manager,06/12/2017 ,70279,154666,181001,0,8486,2,5,,Bryan Burnett,Meets Expectation,Need Improvement
Robert,Adams,Finance,Accountant,07/05/2023 ,84028,,,,,,,,David Davis,Meets Expectation,Need Improvement
Timothy,Delgado,Customer Support,Support Specialist,10/24/2020,55521,,,,,3,0,,Christopher Ochoa,Meets Expectation,Need Improvement
Catherine,King,Marketing,Marketing Analyst,03/10/2018 ,62885,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Elizabeth,Fletcher,Operations,Operations Manager,4/19/2020,68463,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Jessica,Douglas,IT,Software Engineer,02/09/2018 ,84440,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Stacey,Zhang,Operations,Logistics Coordinator,12/22/2021,70111,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Traci,Morrow,Sales,Sales Manager,8/16/2020,88568,239529,52295,0,7258,3,8,,Bryan Burnett,High Performance,Need Improvement
Melanie,Gonzalez,Finance,Auditor,6/29/2021,61440,,,,,,,,David Davis,Meets Expectation,Need Improvement
Tracy,Castaneda,Customer Support,Customer Service Rep,12/26/2023,63572,,,,,4,8,,Christopher Ochoa,Meets Expectation,Need Improvement
Robin,Galvan,Operations,Logistics Coordinator,07/07/2017 ,90201,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Matthew,Wright,Customer Support,Call Center Agent,03/01/2017 ,47141,,,,,4,6,,Christopher Ochoa,Meets Expectation,Need Improvement
Michael,Alvarez,Customer Support,Customer Service Rep,12/16/2020,45038,,,,,1,4,,Christopher Ochoa,Meets Expectation,Need Improvement
Andrew,Harvey,IT,IT Support,11/18/2021,79778,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Kathleen,Barnes,IT,Data Analyst,9/26/2015,104313,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Brian,Diaz,HR,HR Manager,10/09/2015 ,69309,,,,,,,94,Renee Green,Meets Expectation,Need Improvement
Elizabeth,Young,Finance,Accountant,02/12/2018 ,73550,,,,,,,,David Davis,Meets Expectation,Need Improvement
Kim,Mccormick,Marketing,Content Strategist,3/25/2018,75177,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Andre,Frost,Finance,Accountant,5/21/2019,72405,,,,,,,,David Davis,Meets Expectation,Need Improvement
John,Johnson,Operations,Operations Manager,7/28/2021,96708,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Victoria,Martinez,HR,HR Manager,09/04/2021 ,48194,,,,,,,96,Renee Green,Meets Expectation,Satisfactory
Morgan,Gallagher,Sales,Sales Manager,7/17/2015,80461,115346,78599,0,5973,4,4,,Bryan Burnett,High Performance,Need Improvement
Christina,Houston,Customer Support,Support Specialist,7/20/2023,59116,,,,,3,8,,Christopher Ochoa,Meets Expectation,Need Improvement
Stephanie,Nelson,HR,HR Coordinator,7/31/2018,63333,,,,,,,64,Renee Green,Meets Expectation,Need Improvement
Robert,Yu,Finance,Financial Analyst,4/24/2019,103472,,,,,,,,David Davis,Meets Expectation,Need Improvement
Jonathan,Campbell,Marketing,SEO Specialist,11/09/2019 ,68902,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Thomas,Hammond,HR,HR Coordinator,12/13/2021,88589,,,,,,,68,Renee Green,Meets Expectation,Need Improvement
Nancy,Thomas,Finance,Accountant,4/14/2016,89818,,,,,,,,David Davis,Meets Expectation,Need Improvement
Leonard,Roberts,HR,HR Coordinator,4/17/2021,56914,,,,,,,75,Renee Green,Meets Expectation,Need Improvement
Steven,Mcgrath,Operations,Logistics Coordinator,06/07/2023 ,58387,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Kendra,Reynolds,IT,Software Engineer,04/12/2018 ,119966,,,,,,,,Daniel Patterson,Meets Expectation,Excellent Services
Jimmy,Reyes,Sales,Account Manager,3/29/2019,51698,193278,60369,0,7805,5,1,,Bryan Burnett,High Performance,Need Improvement
Angela,Roberts,HR,HR Manager,12/08/2019 ,62211,,,,,,,76,Renee Green,Meets Expectation,Need Improvement
Nicholas,Frost,Marketing,SEO Specialist,12/26/2022,61323,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Dominique,Wilson,HR,HR Coordinator,09/04/2023 ,70459,,,,,,,71,Renee Green,Meets Expectation,Need Improvement
Megan,Fowler,Customer Support,Customer Service Rep,1/14/2023,50571,,,,,1,2,,Christopher Ochoa,Meets Expectation,Need Improvement
Amanda,Andrews,Finance,Accountant,7/21/2015,67937,,,,,,,,David Davis,Meets Expectation,Need Improvement
Christina,Gould,IT,Software Engineer,01/06/2021 ,87452,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Ronald,Brown,IT,IT Support,11/30/2022,117021,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Kelly,Serrano,Marketing,Marketing Analyst,1/24/2018,60128,,,,,,,,Trevor Cooper,Meets Expectation,Satisfactory
Michael,Thomas,Sales,Sales Manager,05/03/2016 ,83789,56224,140709,0,2195,4,0,,Bryan Burnett,Need Improvement,Need Improvement
Priscilla,Price,Customer Support,Support Specialist,11/09/2016 ,45870,,,,,1,0,,Christopher Ochoa,Meets Expectation,Satisfactory
Phillip,Brown,Sales,Account Manager,5/22/2020,48419,56729,125622,0,3193,4,4,,Bryan Burnett,Need Improvement,Need Improvement
James,Travis,IT,Data Analyst,10/20/2017,50871,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Jessica,Heath,Finance,Auditor,11/07/2020 ,97741,,,,,,,,David Davis,Meets Expectation,Need Improvement
Tamara,Flores,Marketing,Marketing Analyst,02/03/2018 ,56265,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Katherine,Paul,Marketing,SEO Specialist,8/14/2020,59718,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Lori,Carlson,Finance,Auditor,10/07/2016 ,108807,,,,,,,,David Davis,Meets Expectation,Need Improvement
Kevin,Larsen,Finance,Auditor,7/26/2022,75044,,,,,,,,David Davis,Meets Expectation,Need Improvement
Emma,Smith,Finance,Auditor,2/21/2022,93672,,,,,,,,David Davis,Meets Expectation,Need Improvement
Scott,Richard,Customer Support,Call Center Agent,05/06/2017 ,41717,,,,,1,1,,Christopher Ochoa,Meets Expectation,Need Improvement
Beth,Castro,HR,HR Manager,10/24/2023,84954,,,,,,,89,Renee Green,Meets Expectation,Need Improvement
Courtney,Hardy,Marketing,SEO Specialist,8/30/2022,61550,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Stacy,Martin,Finance,Auditor,06/09/2021 ,56907,,,,,,,,David Davis,Meets Expectation,Need Improvement
Johnathan,Martinez,Finance,Auditor,5/30/2016,72668,,,,,,,,David Davis,Meets Expectation,Need Improvement
Michelle,Brown,HR,Recruiter,2/14/2018,62702,,,,,,,66,Renee Green,Meets Expectation,Satisfactory
James,Rodriguez,Sales,Sales Manager,12/28/2023,58920,216528,197011,0,7018,5,5,,Bryan Burnett,High Performance,Need Improvement
Susan,Anderson,Sales,Account Manager,9/23/2018,80019,25871,79693,0,922,1,5,,Bryan Burnett,Need Improvement,Need Improvement
Robin,Spence,Marketing,Content Strategist,2/22/2023,81430,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Kristin,Nolan,Marketing,SEO Specialist,9/29/2022,54100,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
John,Horne,HR,HR Manager,12/18/2022,74626,,,,,,,82,Renee Green,Meets Expectation,Need Improvement
Julie,Garrett,IT,IT Support,5/31/2015,108548,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Robyn,Simmons,Customer Support,Call Center Agent,7/14/2021,57320,,,,,5,7,,Christopher Ochoa,Meets Expectation,Need Improvement
Jonathan,Bonilla,IT,Software Engineer,2/13/2015,79197,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Cathy,Klein,HR,HR Manager,05/03/2019 ,79886,,,,,,,82,Renee Green,Meets Expectation,Need Improvement
Randall,Roberts,IT,Data Analyst,07/09/2018 ,90897,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Duane,Ortega,HR,HR Manager,11/02/2023 ,66866,,,,,,,84,Renee Green,Meets Expectation,Need Improvement
Jason,Martinez,Operations,Procurement Specialist,06/06/2022 ,67266,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Abigail,Watson,Marketing,Marketing Analyst,11/25/2016,70565,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Kevin,Lee,Finance,Accountant,8/25/2017,80781,,,,,,,,David Davis,Meets Expectation,Need Improvement
